Epoch 1/20 | Train Loss: 4.0141 | Train Acc: 0.0755 | Test Loss: 3.8884 | Test Acc: 0.1038
Epoch 2/20 | Train Loss: 3.3437 | Train Acc: 0.1837 | Test Loss: 3.0810 | Test Acc: 0.2375
Epoch 3/20 | Train Loss: 2.8337 | Train Acc: 0.2766 | Test Loss: 2.6231 | Test Acc: 0.3173
Epoch 4/20 | Train Loss: 2.4462 | Train Acc: 0.3578 | Test Loss: 2.3988 | Test Acc: 0.3693
Epoch 5/20 | Train Loss: 2.1788 | Train Acc: 0.4128 | Test Loss: 2.1683 | Test Acc: 0.4260
Epoch 6/20 | Train Loss: 1.9653 | Train Acc: 0.4605 | Test Loss: 2.0573 | Test Acc: 0.4466
Epoch 7/20 | Train Loss: 1.7955 | Train Acc: 0.5007 | Test Loss: 2.0160 | Test Acc: 0.4578
Epoch 8/20 | Train Loss: 1.6559 | Train Acc: 0.5355 | Test Loss: 1.8127 | Test Acc: 0.5141
Epoch 9/20 | Train Loss: 1.5203 | Train Acc: 0.5671 | Test Loss: 1.8606 | Test Acc: 0.5023
Epoch 10/20 | Train Loss: 1.4123 | Train Acc: 0.5922 | Test Loss: 1.6549 | Test Acc: 0.5421
Epoch 11/20 | Train Loss: 1.3164 | Train Acc: 0.6137 | Test Loss: 1.6226 | Test Acc: 0.5542
Epoch 12/20 | Train Loss: 1.2223 | Train Acc: 0.6397 | Test Loss: 1.6355 | Test Acc: 0.5547
Epoch 13/20 | Train Loss: 1.1347 | Train Acc: 0.6633 | Test Loss: 1.6337 | Test Acc: 0.5580
Epoch 14/20 | Train Loss: 1.0541 | Train Acc: 0.6843 | Test Loss: 1.6000 | Test Acc: 0.5625
Epoch 15/20 | Train Loss: 0.9758 | Train Acc: 0.7048 | Test Loss: 1.5877 | Test Acc: 0.5762
Epoch 16/20 | Train Loss: 0.9127 | Train Acc: 0.7197 | Test Loss: 1.5657 | Test Acc: 0.5842
Epoch 17/20 | Train Loss: 0.8435 | Train Acc: 0.7411 | Test Loss: 1.5266 | Test Acc: 0.5920
Epoch 18/20 | Train Loss: 0.7678 | Train Acc: 0.7608 | Test Loss: 1.6678 | Test Acc: 0.5756
Epoch 19/20 | Train Loss: 0.7115 | Train Acc: 0.7766 | Test Loss: 1.5968 | Test Acc: 0.5956
Epoch 20/20 | Train Loss: 0.6520 | Train Acc: 0.7934 | Test Loss: 1.6452 | Test Acc: 0.5929
